Date,Close
02/06/2015,9900
03/06/2015,9900
04/06/2015,9850
05/06/2015,9800
06/06/2015,9975
07/06/2015,9925
08/06/2015,9875
09/06/2015,10125
10/06/2015,10238
11/06/2015,10188
12/06/2015,10138
13/06/2015,10088
14/06/2015,10124
15/06/2015,10212
16/06/2015,10162
17/06/2015,10112
18/06/2015,10206
19/06/2015,10156
20/06/2015,10106
22/06/2015,10219
23/06/2015,10169
24/06/2015,10119
25/06/2015,10069
26/06/2015,10019
27/06/2015,9969
28/06/2015,9919
29/06/2015,9869
30/06/2015,9819
01/07/2015,9769
02/07/2015,9907
03/07/2015,10032
04/07/2015,9982
05/07/2015,9932
06/07/2015,9882
07/07/2015,9832
08/07/2015,10057
09/07/2015,10120
10/07/2015,10070
11/07/2015,10020
12/07/2015,9970
13/07/2015,10083
14/07/2015,10033
15/07/2015,9983
16/07/2015,9933
17/07/2015,9883
18/07/2015,9833
19/07/2015,9783
20/07/2015,9733
21/07/2015,9683
23/07/2015,9723
24/07/2015,9673
25/07/2015,9623
26/07/2015,9652
27/07/2015,9602
28/07/2015,9552
29/07/2015,9502
30/07/2015,9452
31/07/2015,9602
01/08/2015,9552
02/08/2015,9502
03/08/2015,9544
04/08/2015,9494
06/08/2015,9444
07/08/2015,9394
08/08/2015,9482
10/08/2015,9432
11/08/2015,9382
12/08/2015,9332
13/08/2015,9282
14/08/2015,9232
15/08/2015,9182
16/08/2015,9276
17/08/2015,9376
19/08/2015,9326
20/08/2015,9426
21/08/2015,9676
22/08/2015,9626
23/08/2015,9576
24/08/2015,9526
25/08/2015,9476
26/08/2015,9426
27/08/2015,9526
28/08/2015,9726
29/08/2015,9676
30/08/2015,9626
31/08/2015,9707
01/09/2015,9882
02/09/2015,9832
04/09/2015,9982
05/09/2015,9932
06/09/2015,9882
07/09/2015,9832
08/09/2015,9782
09/09/2015,9732
10/09/2015,9982
11/09/2015,10070
12/09/2015,10020
14/09/2015,9970
15/09/2015,10120
16/09/2015,10070
17/09/2015,10020
18/09/2015,9970
19/09/2015,9920
21/09/2015,10145
22/09/2015,10095
23/09/2015,10045
24/09/2015,9995
25/09/2015,9945
26/09/2015,9895
27/09/2015,9845
28/09/2015,9795
29/09/2015,9745
30/09/2015,9778
01/10/2015,9728
02/10/2015,9678
03/10/2015,9628
04/10/2015,9661
05/10/2015,9611
06/10/2015,9561
07/10/2015,9511
08/10/2015,9611
09/10/2015,9561
10/10/2015,9728
11/10/2015,9678
12/10/2015,9628
13/10/2015,9578
14/10/2015,9528
15/10/2015,9478
16/10/2015,9541
17/10/2015,9491
18/10/2015,9531
19/10/2015,9644
20/10/2015,9894
21/10/2015,9957
22/10/2015,9907
23/10/2015,9857
24/10/2015,9807
25/10/2015,9895
26/10/2015,9958
27/10/2015,9908
28/10/2015,9858
29/10/2015,9808
30/10/2015,9871
31/10/2015,9821
01/11/2015,9771
02/11/2015,9721
03/11/2015,9671
04/11/2015,9621
05/11/2015,9571
06/11/2015,9521
07/11/2015,9471
08/11/2015,9421
09/11/2015,9521
10/11/2015,9471
11/11/2015,9421
12/11/2015,9481
13/11/2015,9431
