Id,course,RaceDate,RaceTime,Race,Type,Class,AgeLimit,runners,Distance,Yards,going,Limit,WinTime,Seconds,speed,others,pos1,position,TotalBtn,Unnamed: 20,distance,CardNo,horsename,Draw,price,Age,Stone,Lbs,WeightLBS,Favs,Aid,Trainer,Jockey,Allow,OR,Comments,Form,Days,CDB,Odds,Decimal,previous_position,days-since,difficulty
44566108,Kempton,44566,0.663194444,Unibet Amateur Jockeys' Handicap,,4,4YO plus,7,6f,1320,Standard / Slow (AW - Polytrack),85,1m 14.28s,74.28,17.77059774,17.69,6,6,2.65,3,5.3,1,Nigel Nott,4,2,6,11,0,154,Fav,p,M Appleby,Mr Henry Main,5,89,"held up, ridden and outpaced 2f out, kept on inside final furlong, rallied close home",24499-1,3,D,45295,4,1,3,27
44567128,Clonmel (IRE),44567,0.600694444,Tipperary Handicap Hurdle,h,,4YO plus,13,2m 3f 182y,4362,Heavy,102,5m 59.20s,359.2,12.14365256,12.14,2,2,0.75,1,1.5,1,Full Noise,,0.333333333,6,12,0,168,Fav,,Ronan McNally,D Meyler,,98,"led or disputed lead, not fluent 4th, led 2 out, pushed along and 1 length advantage when bad mistake last, soon headed, under pressure and kept on one pace",808-101,5,,45539,0.444444444,1,5,67
44568102,Lingfield,44568,0.545138889,MansionBet Proud Partners Of The AWC Handicap,,6,4YO plus,10,1m 1y,1761,Standard (AW - Polytrack),55,1m 37.62s,97.62,18.0393362,17.97,4,4,3,3,6,1,Porfin,8,2.75,4,9,10,136,Fav,,P S McEntee,Luke Catton,7,65,"led, driven over 1f out, headed inside final furlong, weakened towards finish",92141-1,3,C,45388,1.5,1,3,63
44568104,Lingfield,44568,0.59375,Betway Handicap,,2,4YO plus,5,5f 6y,1106,Standard (AW - Polytrack),105,0m 56.65s,56.65,19.52338923,19.52,1,1,0,0,0,5,Strong Power,4,2.75,5,8,2,114,2Fav,,Alice Haynes,K T ONeill,,84,"chased leaders, effort over 1f out, led inside final furlong, ran on well",4648-21,4,CD,45297,6,1,4,63
44569138,Cork (IRE),44569,0.520833333,Come Racing To Cork Rated Novice Hurdle,h,,5YO plus,7,2m,3520,Heavy,,4m 13.10s,253.1,13.90754642,13.85,4,4,8.25,8,16.5,8,Young Fitzy,,4.5,7,10,11,151,,,D Queally,J B Foley,5,108,"chased leaders, 4th halfway, closer after 4 out, 3rd and pushed along 2 out, 4th and no impression last, no extra run-in",611881,7,D,45297,6,1,7,78
44570109,Southwell,44570,0.569444444,MansionBet Best Odds Guaranteed Handicap,,6,4YO plus,12,1m 13y,1773,Standard / Slow (AW),60,1m 42.93s,102.93,17.22529875,17.11,4,4,5.25,5,10.5,5,Masqool,7,1.5,4,9,5,131,Fav,,H J Evans,D C Costello,,58,"in touch, pushed along over 2f out, ridden and headway over 1f out, not pace to challenge",0/552-1,8,CD,45295,4,1,8,38
44572121,Southwell,44572,0.763888889,MansionBet Proud Partners Of The AWC Classified Stakes (Div 1),,6,3YO plus,9,1m 13y,1773,Standard / Slow (AW),50,1m 42.87s,102.87,17.23534558,17.21,2,2,1.25,1,2.5,1,Fact Or Fable,10,4,5,10,1,141,2Fav,p,J S Moore,L P Keniry,,48,"held up in mid-division, switched right and headway over 2f out, went 2nd and switched left over 1f out, unable to challenge, stayed on",97444-1,6,D,45329,3.5,1,6,38
44572111,Exeter,44572,0.555555556,Tribute Cornwall Pale Ale Handicap Hurdle,h,3,4YO plus,6,2m 2f 111y,4071,Heavy (Soft in places),135,4m 58.40s,298.4,13.64276139,13.6,4,4,7.5,8,15,3,Kissesforkatie,,2.75,8,11,8,162,JFav,,J Scott,Lorcan Williams,,131,"raced wide in last pair, closer at 4th, blundered 6th, pushed along before 3 out, went modest 4th run-in",F/93-641,10,CD,45389,1.75,1,10,33
44572120,Southwell,44572,0.743055556,MansionBet Beaten By A Head Handicap,,4,4YO plus,9,1m 13y,1773,Standard / Slow (AW),80,1m 41.83s,101.83,17.41137189,17.41,1,1,0,0,0,4,Lammas,4,3.333333333,5,9,2,128,2Fav,,David Loughnane,Laura Pearson,3,78,"chased leaders, disputing 2nd over 4f out, led over 1f out, stayed on well inside final furlong",33862-1,10,CD,45327,2.5,1,10,38
44572120,Southwell,44572,0.743055556,MansionBet Beaten By A Head Handicap,,4,4YO plus,9,1m 13y,1773,Standard / Slow (AW),80,1m 41.83s,101.83,17.41137189,17.39,2,2,0.75,1,1.5,1,Totally Charming,3,0.444444444,4,9,10,136,Fav,,George Boughey,Callum Shepherd,,83,"held up in touch in mid-division, switched right over 2f out, headway under pressure over 1f out, went 2nd inside final furlong, held towards finish",641-1,3,D,45293,2,1,3,38
44572121,Southwell,44572,0.763888889,MansionBet Proud Partners Of The AWC Classified Stakes (Div 1),,6,3YO plus,9,1m 13y,1773,Standard / Slow (AW),50,1m 42.87s,102.87,17.23534558,17.11,5,5,5.75,6,11.5,8,Twistaline,1,0.909090909,3,8,10,122,Fav,,M Appleby,Jason Watson,,51,"tracked leaders, ridden and switched left over 2f out, hanging left over 1f out, no extra inside final furlong",25245-1,7,D,45389,1.75,1,7,38
44573103,Kempton,44573,0.708333333,Join Racing TV Now Handicap (Div 2),,6,4YO plus,9,1m,1760,Standard / Slow (AW - Polytrack),55,1m 41.19s,101.19,17.39302303,17.36,2,2,1.25,1,2.5,3,Agent Of Fortune,10,1.375,7,9,8,134,Fav,p,A Carson,R Kingscote,,56,"raced wide tracked leader, ridden to lead over 1f out, headed inside final furlong",49249-1,5,CD,45329,3.5,1,5,27
44573107,Kempton,44573,0.791666667,Follow @racingtv On Twitter Classified Stakes,,6,4YO plus,11,1m 3f 219y,2639,Standard / Slow (AW - Polytrack),50,2m 40.18s,160.18,16.47521538,16.44,3,3,2.75,3,5.5,2,Bella Colorossa,6,1.75,4,9,5,131,Fav,,Best & Jewell,R Kingscote,,55,"slowly away towards rear, pushed along and headway over 1f out, ridden to lead approaching final furlong, headed inside final furlong",84095-1,7,C,45293,2,1,7,27
