original_timestamp,file_source,operation,clock,publish_time,connection_time,publish_datetime,market_id,market_definition_bet_delay,market_definition_betting_type,market_definition_bsp_market,market_definition_complete,market_definition_country_code,market_definition_cross_matching,market_definition_discount_allowed,market_definition_event_id,market_definition_event_type_id,market_definition_in_play,market_definition_market_base_rate,market_definition_market_time,market_definition_market_type,market_definition_number_of_active_runners,market_definition_number_of_winners,market_definition_open_date,market_definition_persistence_enabled,market_definition_regulators,market_definition_rules_has_date_expiry,market_definition_status,market_definition_suspend_time,market_definition_timezone,market_definition_turn_in_play_enabled,market_definition_venue,market_definition_version,market_definition_market_datetime,runner_id,runner_fullImage_price,runner_last_price_traded,runner_total_matched,runner_removal_date,runner_adjustment_factor,runner_handicap
2025-08-02T16:31:29.689376,betfair_data_1,mcm,7818562832,1.6775E+12,,32:59.6,1.210613862,0,ODDS,TRUE,TRUE,GB,FALSE,TRUE,32144451,7,FALSE,5,2023-03-01T14:20:00.000Z,WIN,4,1,2023-03-01T13:50:00.000Z,TRUE,['MR_INT'],,OPEN,2023-03-01T14:20:00.000Z,Europe/London,TRUE,Musselburgh,5078054473,,,,,,,,
2025-08-02T16:31:31.738781,betfair_data_3,mcm,7818562832,1.6775E+12,,32:59.6,1.210613875,0,ODDS,TRUE,TRUE,GB,FALSE,TRUE,32144451,7,FALSE,5,2023-03-01T13:50:00.000Z,WIN,4,1,2023-03-01T13:50:00.000Z,TRUE,['MR_INT'],,OPEN,2023-03-01T13:50:00.000Z,Europe/London,TRUE,Musselburgh,5078054469,,,,,,,,
2025-08-02T16:31:33.808254,betfair_data_5,mcm,7818562832,1.6775E+12,,32:59.6,1.210613903,0,ODDS,TRUE,TRUE,GB,FALSE,TRUE,32144451,7,FALSE,5,2023-03-01T14:50:00.000Z,WIN,6,1,2023-03-01T13:50:00.000Z,TRUE,['MR_INT'],,OPEN,2023-03-01T14:50:00.000Z,Europe/London,TRUE,Musselburgh,5078054475,,,,,,,,
2025-08-02T16:31:31.738781,betfair_data_3,mcm,7824870635,1.6776E+12,,49:34.4,1.210613875,,,,,,,,,,,,,,,,,,,,,,,,,,,41401413,,3.7,,,,
2025-08-02T16:31:31.738781,betfair_data_3,mcm,7825373846,1.6776E+12,,25:53.6,1.210613875,,,,,,,,,,,,,,,,,,,,,,,,,,,42024531,,3.8,,,,
2025-08-02T16:31:32.723930,betfair_data_4,mcm,7825540958,1.6776E+12,,00:43.6,1.210613879,0,ODDS,TRUE,TRUE,GB,FALSE,TRUE,32144451,7,FALSE,5,2023-03-01T13:50:00.000Z,PLACE,4,2,2023-03-01T13:50:00.000Z,TRUE,['MR_INT'],,OPEN,2023-03-01T13:50:00.000Z,Europe/London,TRUE,Musselburgh,5079614728,,,,,,,,
2025-08-02T16:31:30.674197,betfair_data_2,mcm,7825540958,1.6776E+12,,00:43.6,1.210613868,0,ODDS,TRUE,TRUE,GB,FALSE,TRUE,32144451,7,FALSE,5,2023-03-01T14:20:00.000Z,PLACE,4,2,2023-03-01T13:50:00.000Z,TRUE,['MR_INT'],,OPEN,2023-03-01T14:20:00.000Z,Europe/London,TRUE,Musselburgh,5079615406,,,,,,,,
2025-08-02T16:31:31.738781,betfair_data_3,mcm,7825568962,1.6776E+12,,05:41.9,1.210613875,,,,,,,,,,,,,,,,,,,,,,,,,,,42024531,,3.75,,,,
2025-08-02T16:31:33.808254,betfair_data_5,mcm,7825577878,1.6776E+12,,07:33.4,1.210613903,,,,,,,,,,,,,,,,,,,,,,,,,,,54817,,2.4,,,,
2025-08-02T16:31:33.808254,betfair_data_5,mcm,7825587645,1.6776E+12,,09:28.9,1.210613903,,,,,,,,,,,,,,,,,,,,,,,,,,,10508796,,14.5,,,,
2025-08-02T16:31:31.738781,betfair_data_3,mcm,7825587645,1.6776E+12,,09:28.9,1.210613875,,,,,,,,,,,,,,,,,,,,,,,,,,,41401413,,5.1,,,,
2025-08-02T16:31:33.808254,betfair_data_5,mcm,7825610272,1.6776E+12,,13:46.7,1.210613903,,,,,,,,,,,,,,,,,,,,,,,,,,,10508796,,15.5,,,,
2025-08-02T16:31:33.808254,betfair_data_5,mcm,7825621493,1.6776E+12,,15:51.2,1.210613903,,,,,,,,,,,,,,,,,,,,,,,,,,,54817,,2.3,,,,
2025-08-02T16:31:31.738781,betfair_data_3,mcm,7825633145,1.6776E+12,,17:55.6,1.210613875,,,,,,,,,,,,,,,,,,,,,,,,,,,41401413,,4.8,,,,
2025-08-02T16:31:29.689376,betfair_data_1,mcm,7825639597,1.6776E+12,,19:05.7,1.210613862,,,,,,,,,,,,,,,,,,,,,,,,,,,42124604,,2.18,,,,
2025-08-02T16:31:31.738781,betfair_data_3,mcm,7825655091,1.6776E+12,,21:56.4,1.210613875,,,,,,,,,,,,,,,,,,,,,,,,,,,41401413,,4.7,,,,
2025-08-02T16:31:31.738781,betfair_data_3,mcm,7825660197,1.6776E+12,,22:56.6,1.210613875,,,,,,,,,,,,,,,,,,,,,,,,,,,41401413,,4.6,,,,
2025-08-02T16:31:31.738781,betfair_data_3,mcm,7825665044,1.67761E+12,,23:56.0,1.210613875,,,,,,,,,,,,,,,,,,,,,,,,,,,41401413,,4.8,,,,
2025-08-02T16:31:33.808254,betfair_data_5,mcm,7825673697,1.67761E+12,,25:43.3,1.210613903,,,,,,,,,,,,,,,,,,,,,,,,,,,54817,,2.14,,,,
2025-08-02T16:31:33.808254,betfair_data_5,mcm,7825673697,1.67761E+12,,25:43.3,1.210613903,,,,,,,,,,,,,,,,,,,,,,,,,,,36615100,,9.8,,,,
2025-08-02T16:31:33.808254,betfair_data_5,mcm,7825696635,1.67761E+12,,28:53.9,1.210613903,,,,,,,,,,,,,,,,,,,,,,,,,,,10508796,,12,,,,
2025-08-02T16:31:29.689376,betfair_data_1,mcm,7825696635,1.67761E+12,,28:53.9,1.210613862,,,,,,,,,,,,,,,,,,,,,,,,,,,42124604,,2.28,,,,
2025-08-02T16:31:33.808254,betfair_data_5,mcm,7825701795,1.67761E+12,,29:51.5,1.210613903,,,,,,,,,,,,,,,,,,,,,,,,,,,23710422,,15.5,,,,
2025-08-02T16:31:33.808254,betfair_data_5,mcm,7825701795,1.67761E+12,,29:51.5,1.210613903,,,,,,,,,,,,,,,,,,,,,,,,,,,54817,,2.24,,,,
2025-08-02T16:31:29.689376,betfair_data_1,mcm,7825730045,1.67761E+12,,34:53.9,1.210613862,,,,,,,,,,,,,,,,,,,,,,,,,,,42124604,,2.2,,,,
2025-08-02T16:31:29.689376,betfair_data_1,mcm,7825730045,1.67761E+12,,34:53.9,1.210613862,,,,,,,,,,,,,,,,,,,,,,,,,,,42064849,,2.98,,,,
2025-08-02T16:31:33.808254,betfair_data_5,mcm,7825748047,1.67761E+12,,37:55.9,1.210613903,,,,,,,,,,,,,,,,,,,,,,,,,,,36615100,,8.2,,,,
2025-08-02T16:31:33.808254,betfair_data_5,mcm,7825785154,1.67761E+12,,44:47.9,1.210613903,,,,,,,,,,,,,,,,,,,,,,,,,,,36615100,,8,,,,
2025-08-02T16:31:31.738781,betfair_data_3,mcm,7825790471,1.67761E+12,,45:44.8,1.210613875,,,,,,,,,,,,,,,,,,,,,,,,,,,41401413,,4.3,,,,
2025-08-02T16:31:31.738781,betfair_data_3,mcm,7825795460,1.67761E+12,,46:38.8,1.210613875,,,,,,,,,,,,,,,,,,,,,,,,,,,41401413,,4.5,,,,
2025-08-02T16:31:33.808254,betfair_data_5,mcm,7825805453,1.67761E+12,,48:29.7,1.210613903,,,,,,,,,,,,,,,,,,,,,,,,,,,36615100,,8.2,,,,
2025-08-02T16:31:31.738781,betfair_data_3,mcm,7825818195,1.67761E+12,,50:54.1,1.210613875,,,,,,,,,,,,,,,,,,,,,,,,,,,41401413,,3.75,,,,
2025-08-02T16:31:29.689376,betfair_data_1,mcm,7825836962,1.67761E+12,,54:42.9,1.210613862,,,,,,,,,,,,,,,,,,,,,,,,,,,42124604,,2.18,,,,
2025-08-02T16:31:29.689376,betfair_data_1,mcm,7825841335,1.67761E+12,,55:38.9,1.210613862,,,,,,,,,,,,,,,,,,,,,,,,,,,42124604,,2.14,,,,
