le, lx, se, sx, bw, bsdd, bsdu, total_profit
2, 1, 2, 1, 15, 1.00, 1.00, 9631.66
2, 1, 2, 1, 15, 1.00, 1.50, 9637.19
2, 1, 2, 1, 15, 1.50, 1.00, 9641.75
2, 1, 2, 1, 15, 1.50, 1.50, 9647.28
2, 1, 2, 1, 16, 1.00, 1.00, 9629.45
2, 1, 2, 1, 16, 1.00, 1.50, 9633.06
2, 1, 2, 1, 16, 1.50, 1.00, 9642.83
2, 1, 2, 1, 16, 1.50, 1.50, 9646.44
2, 1, 2, 1, 17, 1.00, 1.00, 9638.79
2, 1, 2, 1, 17, 1.00, 1.50, 9642.89
2, 1, 2, 1, 17, 1.50, 1.00, 9638.57
2, 1, 2, 1, 17, 1.50, 1.50, 9642.67
2, 1, 2, 1, 18, 1.00, 1.00, 9644.54
2, 1, 2, 1, 18, 1.00, 1.50, 9644.00
2, 1, 2, 1, 18, 1.50, 1.00, 9644.32
2, 1, 2, 1, 18, 1.50, 1.50, 9643.78
2, 1, 2, 1, 19, 1.00, 1.00, 9651.18
2, 1, 2, 1, 19, 1.00, 1.50, 9644.45
2, 1, 2, 1, 19, 1.50, 1.00, 9650.51
2, 1, 2, 1, 19, 1.50, 1.50, 9643.78
2, 1, 2, 1, 20, 1.00, 1.00, 9658.65
2, 1, 2, 1, 20, 1.00, 1.50, 9647.11
2, 1, 2, 1, 20, 1.50, 1.00, 9655.32
2, 1, 2, 1, 20, 1.50, 1.50, 9643.78
2, 1, 2, 1, 21, 1.00, 1.00, 9667.21
2, 1, 2, 1, 21, 1.00, 1.50, 9652.88
2, 1, 2, 1, 21, 1.50, 1.00, 9661.52
2, 1, 2, 1, 21, 1.50, 1.50, 9647.19
2, 1, 2, 1, 22, 1.00, 1.00, 9673.66
2, 1, 2, 1, 22, 1.00, 1.50, 9650.55
2, 1, 2, 1, 22, 1.50, 1.00, 9670.30
2, 1, 2, 1, 22, 1.50, 1.50, 9647.19
2, 1, 2, 1, 23, 1.00, 1.00, 9675.23
2, 1, 2, 1, 23, 1.00, 1.50, 9649.23
2, 1, 2, 1, 23, 1.50, 1.00, 9674.21
2, 1, 2, 1, 23, 1.50, 1.50, 9648.21
2, 1, 2, 1, 24, 1.00, 1.00, 9667.36
2, 1, 2, 1, 24, 1.00, 1.50, 9641.28
2, 1, 2, 1, 24, 1.50, 1.00, 9670.51
2, 1, 2, 1, 24, 1.50, 1.50, 9644.43
2, 1, 2, 1, 25, 1.00, 1.00, 9656.36
2, 1, 2, 1, 25, 1.00, 1.50, 9627.33
2, 1, 2, 1, 25, 1.50, 1.00, 9667.96
2, 1, 2, 1, 25, 1.50, 1.50, 9638.93
2, 1, 2, 2, 15, 1.00, 1.00, 9551.21
2, 1, 2, 2, 15, 1.00, 1.50, 9547.49
2, 1, 2, 2, 15, 1.50, 1.00, 9561.30
2, 1, 2, 2, 15, 1.50, 1.50, 9557.58
2, 1, 2, 2, 16, 1.00, 1.00, 9547.33
2, 1, 2, 2, 16, 1.00, 1.50, 9543.36
2, 1, 2, 2, 16, 1.50, 1.00, 9560.71
2, 1, 2, 2, 16, 1.50, 1.50, 9556.74
2, 1, 2, 2, 17, 1.00, 1.00, 9556.26
2, 1, 2, 2, 17, 1.00, 1.50, 9553.19
2, 1, 2, 2, 17, 1.50, 1.00, 9556.04
2, 1, 2, 2, 17, 1.50, 1.50, 9552.97
2, 1, 2, 2, 18, 1.00, 1.00, 9563.27
2, 1, 2, 2, 18, 1.00, 1.50, 9554.30
2, 1, 2, 2, 18, 1.50, 1.00, 9563.05
2, 1, 2, 2, 18, 1.50, 1.50, 9554.08
2, 1, 2, 2, 19, 1.00, 1.00, 9575.91
2, 1, 2, 2, 19, 1.00, 1.50, 9554.75
2, 1, 2, 2, 19, 1.50, 1.00, 9575.24
2, 1, 2, 2, 19, 1.50, 1.50, 9554.08
2, 1, 2, 2, 20, 1.00, 1.00, 9590.04
2, 1, 2, 2, 20, 1.00, 1.50, 9557.41
2, 1, 2, 2, 20, 1.50, 1.00, 9586.71
2, 1, 2, 2, 20, 1.50, 1.50, 9554.08
2, 1, 2, 2, 21, 1.00, 1.00, 9598.83
2, 1, 2, 2, 21, 1.00, 1.50, 9559.77
2, 1, 2, 2, 21, 1.50, 1.00, 9593.14
2, 1, 2, 2, 21, 1.50, 1.50, 9554.08
2, 1, 2, 2, 22, 1.00, 1.00, 9605.57
2, 1, 2, 2, 22, 1.00, 1.50, 9557.44
2, 1, 2, 2, 22, 1.50, 1.00, 9602.21
2, 1, 2, 2, 22, 1.50, 1.50, 9554.08
2, 1, 2, 2, 23, 1.00, 1.00, 9614.97
2, 1, 2, 2, 23, 1.00, 1.50, 9557.44
2, 1, 2, 2, 23, 1.50, 1.00, 9613.95
2, 1, 2, 2, 23, 1.50, 1.50, 9556.42
2, 1, 2, 2, 24, 1.00, 1.00, 9596.51
2, 1, 2, 2, 24, 1.00, 1.50, 9549.49
2, 1, 2, 2, 24, 1.50, 1.00, 9599.66
2, 1, 2, 2, 24, 1.50, 1.50, 9552.64
