Id,course,date,RaceTime,Race,Type,Class,AgeLimit,ran,Distance,Yards,going,Limit,WinTime,Seconds,speed,others,pos1,position,TotalBtn,,distance,CardNo,horsename,Draw,Sp,Age,Stone,Lbs,WeightLBS,Favs,Aid,trainer,Jockey,Allow,OR
44562101,Catterick,01/01/2022,12:25,Happy New Year Novices' Hurdle (GBB Race),h,4,4YO plus,5,2m 3f 66y,4246,Soft,,4m 51.93s,291.93,14.54458261,14.54,1,1,0,0,0,4,High Moon,,2.25,7,11,2,156,2Fav,,Rebecca Menzies,Nathan Moscrop,3,105
44562101,Catterick,01/01/2022,12:25,Happy New Year Novices' Hurdle (GBB Race),h,4,4YO plus,5,2m 3f 66y,4246,Soft,,4m 51.93s,291.93,14.54458261,14.49,2,2,8.5,9,17,1,Bobs Bar,,3.5,6,11,7,161,,,D McCain Jnr,Theo Gillard,5,117
44562101,Catterick,01/01/2022,12:25,Happy New Year Novices' Hurdle (GBB Race),h,4,4YO plus,5,2m 3f 66y,4246,Soft,,4m 51.93s,291.93,14.54458261,14.48,3,3,10,10,20,5,Zestful Hope (FR),,33,5,11,5,159,,,C E Longsdon,Paul OBrien,,
44562101,Catterick,01/01/2022,12:25,Happy New Year Novices' Hurdle (GBB Race),h,4,4YO plus,5,2m 3f 66y,4246,Soft,,4m 51.93s,291.93,14.54458261,14.48,4,4,10.5,11,21,2,Ask The Doc,,0.833333333,6,11,5,159,Fav,,Oliver Greenall,Craig Nichol,,115
44562101,Catterick,01/01/2022,12:25,Happy New Year Novices' Hurdle (GBB Race),h,4,4YO plus,5,2m 3f 66y,4246,Soft,,4m 51.93s,291.93,14.54458261,14.41,5,5,20,20,40,3,Fishing For Likes,,66,6,11,5,159,,,L J Morgan,Sean Quinlan,,
44562102,Catterick,01/01/2022,13:00,Randall Orchard Looking For 100 Winners Handicap Hurdle,h,5,4YO plus,12,3m 1f 71y,5571,Soft,100,6m 43.33s,403.33,13.81251085,13.81,1,1,0,0,0,7,Late Date,,40,11,9,13,139,,p,Micky Hammond,Jack Hogan,7,80
44562102,Catterick,01/01/2022,13:00,Randall Orchard Looking For 100 Winners Handicap Hurdle,h,5,4YO plus,12,3m 1f 71y,5571,Soft,100,6m 43.33s,403.33,13.81251085,13.8,2,2,2.25,2,4.5,9,Tanora,,12,7,10,5,145,,t1,S England,Jonathan England,,79
44562102,Catterick,01/01/2022,13:00,Randall Orchard Looking For 100 Winners Handicap Hurdle,h,5,4YO plus,12,3m 1f 71y,5571,Soft,100,6m 43.33s,403.33,13.81251085,13.78,3,3,7.75,8,15.5,2,Bullion Boss,,5.5,6,11,10,164,,,N G Richards,Sean Quinlan,,98
44562102,Catterick,01/01/2022,13:00,Randall Orchard Looking For 100 Winners Handicap Hurdle,h,5,4YO plus,12,3m 1f 71y,5571,Soft,100,6m 43.33s,403.33,13.81251085,13.76,4,4,11.5,12,23,13,Lady Vinetta,,33,7,9,11,137,,p1,Miss G Boanas,Nathan Moscrop,3,74
44562102,Catterick,01/01/2022,13:00,Randall Orchard Looking For 100 Winners Handicap Hurdle,h,5,4YO plus,12,3m 1f 71y,5571,Soft,100,6m 43.33s,403.33,13.81251085,13.75,5,5,13.75,14,27.5,4,Olivers Island,,3.5,10,10,6,146,,t   b,J Bedi,Peter Coleman,7,87
44562102,Catterick,01/01/2022,13:00,Randall Orchard Looking For 100 Winners Handicap Hurdle,h,5,4YO plus,12,3m 1f 71y,5571,Soft,100,6m 43.33s,403.33,13.81251085,13.71,6,6,22.75,23,45.5,11,Fame And Hope,,3,7,10,1,141,2Fav,,Miss G Boanas,Miss Becky Smith,3,78
