Id,course,date,RaceTime,Race,position,horsename,price,trainer,jockey,Comments
44562101,Catterick,01-Jan-22,12:25,Happy New Year Novices' Hurdle (GBB Race),4,Ask The Doc,0.833333333,Oliver Greenall,Craig Nichol,"tracked leader, pushed along and dropped to 3rd under 3 out, outpaced under 2 out, kept on same pace and dropped to 4th close home"
44562101,Catterick,01-Jan-22,12:25,Happy New Year Novices' Hurdle (GBB Race),2,Bobs Bar,3.5,D McCain Jnr,Theo Gillard,"in touch towards outer, headway into 2nd under 3 out, switched left and challenged 2 out, outpaced before last, ran on same pace and no match for winner flat"
44562101,Catterick,01-Jan-22,12:25,Happy New Year Novices' Hurdle (GBB Race),5,Fishing For Likes,66,L J Morgan,Sean Quinlan,"held up in last, left behind well over 2 out"
44562101,Catterick,01-Jan-22,12:25,Happy New Year Novices' Hurdle (GBB Race),1,High Moon,2.25,Rebecca Menzies,Nathan Moscrop,"made all, pressed 2 out, extended advantage before last, ridden and powered clear flat, easily"
44562101,Catterick,01-Jan-22,12:25,Happy New Year Novices' Hurdle (GBB Race),3,Zestful Hope (FR),33,C E Longsdon,Paul OBrien,"chased leaders, lost place under 3 out, headway from under 2 out, kept on steadily flat and took 3rd near finish"
44562102,Catterick,01-Jan-22,13:00,Randall Orchard Looking For 100 Winners Handicap Hurdle,3,Bullion Boss,5.5,N G Richards,Sean Quinlan,"mid-division on inner, headway under 3 out, challenged 2 out, ridden under 2 out, dropped to 3rd last and weakened flat"
44562102,Catterick,01-Jan-22,13:00,Randall Orchard Looking For 100 Winners Handicap Hurdle,9,Court At Slip,22,T D Easterby,Mr W Easterby,"close up early, led after 1st and raced freely, mistake 7th, headed 2 out, keeping on same pace when fell last"
44562102,Catterick,01-Jan-22,13:00,Randall Orchard Looking For 100 Winners Handicap Hurdle,7,Derrick Danjou,2.75,J Bedi,Danny Burton,"held up, headway under 3 out, pushed along over 2 out, ridden and left behind under 2 out"
44562102,Catterick,01-Jan-22,13:00,Randall Orchard Looking For 100 Winners Handicap Hurdle,6,Fame And Hope,3,Miss G Boanas,Miss Becky Smith,"close up early, chased leaders after 1st, lost place under 3 out and soon beaten"
44562102,Catterick,01-Jan-22,13:00,Randall Orchard Looking For 100 Winners Handicap Hurdle,9,Granny Mags,50,R Michael Smith,William Shanahan,"in touch, bad mistake 8th, ridden under 3 out, pulled up before 2 out"
44562102,Catterick,01-Jan-22,13:00,Randall Orchard Looking For 100 Winners Handicap Hurdle,9,Great Raffles (FR),33,Micky Hammond,A P Cawley,"led, headed and chased leaders after 1st, lost ground under 4 out, pulled up after 3 out"
44562102,Catterick,01-Jan-22,13:00,Randall Orchard Looking For 100 Winners Handicap Hurdle,4,Lady Vinetta,33,Miss G Boanas,Nathan Moscrop,"held up, pushed along under 4 out, outpaced 2 out, kept on from before last, ran on into 4th flat"
44562102,Catterick,01-Jan-22,13:00,Randall Orchard Looking For 100 Winners Handicap Hurdle,1,Late Date,40,Micky Hammond,Jack Hogan,"tracked leader, challenged 2 out and soon led, over length ahead last, ridden and went clear flat, idled and reduced lead close home"
44562102,Catterick,01-Jan-22,13:00,Randall Orchard Looking For 100 Winners Handicap Hurdle,5,Olivers Island,3.5,J Bedi,Peter Coleman,"mid-division, headway under 3 out, pushed along and outpaced over 2 out, kept on same pace from under 2 out"
44562102,Catterick,01-Jan-22,13:00,Randall Orchard Looking For 100 Winners Handicap Hurdle,2,Tanora,12,S England,Jonathan England,"held up, raced freely, mistake 5th, good headway under 3 out, close up in 4th 2 out, every chance before last, outpaced by winner flat"
44562102,Catterick,01-Jan-22,13:00,Randall Orchard Looking For 100 Winners Handicap Hurdle,9,The Bravest (GER),16,I Jardine,Jamie Gormley,"held up, closer 3 out, pushed along under 3 out, under pressure when fell 2 out"
44562102,Catterick,01-Jan-22,13:00,Randall Orchard Looking For 100 Winners Handicap Hurdle,9,Trimmers Lane,40,Micky Hammond,Emma Smith-Chaston,"chased leaders early, mistake 1st and soon in mid-division, dropped to rear after 5th, struggling before 8th, pulled up after 3 out"
44562103,Catterick,01-Jan-22,13:35,Happy New Year From Vickers Bet Novices' Limited Handicap Chase (GBB Race),9,No Anxiety,3.333333333,Jamie Snowden,Page Fuller,"disputed lead early, mistake and lost ground 2nd, in touch after 3rd, jumped right 5th, pushed along and left behind under 4 out, beaten 2 out and soon pulled up"
44562103,Catterick,01-Jan-22,13:35,Happy New Year From Vickers Bet Novices' Limited Handicap Chase (GBB Race),1,Rapper,2.5,H D Daly,Ben Godfrey,"chased leaders, tracked leader after 9th, led over 3 out, pressed 2 out, responded well and extended lead before last, ridden and went clear flat"
44562103,Catterick,01-Jan-22,13:35,Happy New Year From Vickers Bet Novices' Limited Handicap Chase (GBB Race),2,Thatsy (FR),4,B Butterworth,Sean Quinlan,"held up, headway 13th, close up in 3rd under 4 out, challenged going best 2 out, ridden under 2 out, kept on until outpaced by winner after last"
44562103,Catterick,01-Jan-22,13:35,Happy New Year From Vickers Bet Novices' Limited Handicap Chase (GBB Race),3,Tommie Beau,1.875,J W Mullins,J A Anderson,"in touch, closer after 5th, lost position 13th, mistake 14th and dropped to last, mistake 15th, ridden and outpaced under 4 out, kept on steadily from under 2 out, took distant 3rd flat"
44562103,Catterick,01-Jan-22,13:35,Happy New Year From Vickers Bet Novices' Limited Handicap Chase (GBB Race),4,Trevelyns Corn,25,Micky Hammond,A P Cawley,"disputed lead early, led after 1st and jumped right, headed over 3 out, outpaced over 2 out and soon held"
44562104,Catterick,01-Jan-22,14:15,#jumpingforjoy On Racing TV Novices' Hurdle (GBB Race),3,Fenland Tiger,12,S England,Jonathan England,"held up, lost ground over 4 out, outpaced under 3 out, plugged on from before last and took distant 3rd closing stages"
44562104,Catterick,01-Jan-22,14:15,#jumpingforjoy On Racing TV Novices' Hurdle (GBB Race),5,Lindwall,22,D McCain Jnr,Paul OBrien,"went left and slowly away when tape dropped, in rear, pushed along under 3 out and soon left behind."
44562104,Catterick,01-Jan-22,14:15,#jumpingforjoy On Racing TV Novices' Hurdle (GBB Race),2,Malpas,2.125,D McCain Jnr,Theo Gillard,"led, pressed over 2 out and soon headed, ridden and briefly outpaced under 2 out, rallied and pressed winner after last, kept on"
44562104,Catterick,01-Jan-22,14:15,#jumpingforjoy On Racing TV Novices' Hurdle (GBB Race),4,Rains Of Castamere,25,I Jardine,Craig Nichol,"chased leaders, pushed along when mistake 2 out, outpaced under 2 out, held when jumped left last"
44562104,Catterick,01-Jan-22,14:15,#jumpingforjoy On Racing TV Novices' Hurdle (GBB Race),1,Socialist Agenda,0.615384615,L J Morgan,Sean Quinlan,"tracked leader, led going well over 2 out, mistake 2 out, went clear under 2 out, reduced lead after last and pressed flat, ridden out and ran on"
44562105,Catterick,01-Jan-22,14:45,racingtv.com Handicap Chase (Go North Red Rum Series Qualifier),5,Catlin,11,Nick Kent,Paul OBrien,"close up, stumbled on landing 12th, pushed along and lost ground after 15th, left behind over 3 out"
