Date,Symbol,TradeType,Price,Profit,Balance
2020-02-13,A,Long Entry,85.470001,0.0,10000.0
2020-02-18,A,Long Exit,84.790001,-0.6799999999999926,9999.32
2020-05-07,A,Long Entry,78.5,0.0,9999.32
2020-05-12,A,Long Exit,79.849998,1.3499979999999994,10000.669998
2020-05-29,A,Long Entry,88.139999,0.0,10000.669998
2020-06-05,A,Long Exit,90.379997,2.239998,10002.909995999999
2020-06-18,A,Long Entry,88.209999,0.0,10002.909995999999
2020-06-22,A,Long Exit,88.529999,0.3200000000000074,10003.229995999998
2020-07-23,A,Long Entry,96.660004,0.0,10003.229995999998
2020-07-24,A,Long Exit,94.809998,-1.8500060000000076,10001.379989999998
2020-10-01,A,Long Entry,101.220001,0.0,10001.379989999998
2020-10-02,A,Long Exit,100.010002,-1.2099989999999963,10000.169990999997
2020-11-05,A,Long Entry,110.339996,0.0,10000.169990999997
2020-11-09,A,Long Exit,112.5,2.1600040000000007,10002.329994999996
2021-01-07,A,Long Entry,126.160004,0.0,10002.329994999996
2021-01-12,A,Long Exit,126.970001,0.8099969999999956,10003.139991999997
2021-06-11,A,Long Entry,143.529999,0.0,10003.139991999997
2021-06-16,A,Long Exit,143.589996,0.05999700000000985,10003.199988999997
2021-08-06,A,Long Entry,155.699997,0.0,10003.199988999997
2021-08-10,A,Long Exit,156.520004,0.8200070000000039,10004.019995999997
2021-08-26,A,Long Entry,173.589996,0.0,10004.019995999997
2021-08-31,A,Long Exit,175.470001,1.8800049999999828,10005.900000999998
2021-11-19,A,Long Entry,164.300003,0.0,10005.900000999998
2021-11-22,A,Long Exit,162.779999,-1.5200040000000001,10004.379996999998
2021-12-30,A,Long Entry,160.880005,0.0,10004.379996999998
2021-12-31,A,Long Exit,159.649994,-1.2300110000000188,10003.149985999999
2022-03-18,A,Long Entry,139.119995,0.0,10003.149985999999
2022-03-21,A,Long Exit,138.139999,-0.9799959999999999,10002.169989999999
2022-07-29,A,Long Entry,134.100006,0.0,10002.169989999999
2022-08-01,A,Long Exit,133.429993,-0.6700130000000115,10001.499976999998
2022-09-09,A,Long Entry,137.630005,0.0,10001.499976999998
2022-09-13,A,Long Exit,133.539993,-4.0900120000000015,9997.409964999997
2023-07-21,A,Long Entry,127.620003,0.0,9997.409964999997
2023-07-25,A,Long Exit,127.309998,-0.31000500000000386,9997.099959999998
2023-08-18,A,Short Entry,119.25,0.0,9997.099959999998
2023-08-24,A,Short Exit,119.489998,-0.23999799999999993,9996.859961999999
2024-03-01,A,Long Entry,139.059998,0.0,9996.859961999999
2024-03-08,A,Long Exit,147.869995,8.809996999999981,10005.669958999999
2024-05-09,A,Long Entry,145.139999,0.0,10005.669958999999
2024-05-13,A,Long Exit,147.759995,2.6199960000000146,10008.289954999998
2020-05-07,MSFT,Long Entry,183.600006,0.0,10008.289954999998
2020-05-12,MSFT,Long Exit,182.509995,-1.090011000000004,10007.199943999998
2020-06-18,MSFT,Long Entry,196.320007,0.0,10007.199943999998
2020-06-19,MSFT,Long Exit,195.149994,-1.1700130000000115,10006.029930999997
2020-07-02,MSFT,Long Entry,206.259995,0.0,10006.029930999997
2020-07-07,MSFT,Long Exit,208.25,1.9900049999999965,10008.019935999997
2020-08-27,MSFT,Long Entry,226.580002,0.0,10008.019935999997
2020-08-31,MSFT,Long Exit,225.529999,-1.0500030000000038,10006.969932999997
2020-10-23,MSFT,Long Entry,216.229996,0.0,10006.969932999997
2020-10-26,MSFT,Long Exit,210.080002,-6.149993999999992,10000.819938999997
2020-11-06,MSFT,Long Entry,223.720001,0.0,10000.819938999997
2020-11-09,MSFT,Long Exit,218.389999,-5.3300020000000075,9995.489936999997
2021-01-22,MSFT,Long Entry,225.949997,0.0,9995.489936999997
2021-01-29,MSFT,Long Exit,231.960007,6.010009999999994,10001.499946999997
2021-07-23,MSFT,Long Entry,289.670013,0.0,10001.499946999997
2021-07-26,MSFT,Long Exit,289.049988,-0.6200249999999983,10000.879921999996
2021-09-16,MSFT,Long Entry,305.220001,0.0,10000.879921999996
2021-09-17,MSFT,Long Exit,299.869995,-5.350006000000008,9995.529915999996
2021-10-29,MSFT,Long Entry,331.619995,0.0,9995.529915999996
2021-11-01,MSFT,Long Exit,329.369995,-2.25,9993.279915999996
2022-03-18,MSFT,Long Entry,300.429993,0.0,9993.279915999996
2022-03-21,MSFT,Long Exit,299.160004,-1.2699890000000096,9992.009926999996
2022-09-02,MSFT,Short Entry,256.059998,0.0,9992.009926999996
2022-09-08,MSFT,Short Exit,258.519989,-2.4599910000000023,9989.549935999996
2023-01-12,MSFT,Long Entry,238.509995,0.0,9989.549935999996
2023-01-18,MSFT,Long Exit,235.809998,-2.699996999999996,9986.849938999996
2023-03-16,MSFT,Long Entry,276.200012,0.0,9986.849938999996
2023-03-20,MSFT,Long Exit,272.230011,-3.9700010000000248,9982.879937999996
2023-05-18,MSFT,Long Entry,318.519989,0.0,9982.879937999996
2023-05-19,MSFT,Long Exit,318.339996,-0.1799930000000245,9982.699944999997
2023-06-15,MSFT,Long Entry,348.100006,0.0,9982.699944999997
2023-06-16,MSFT,Long Exit,342.329987,-5.770018999999991,9976.929925999997
2023-07-14,MSFT,Long Entry,345.23999,0.0,9976.929925999997
2023-07-19,MSFT,Long Exit,355.079987,9.83999700000004,9986.769922999996
2023-09-22,MSFT,Short Entry,317.01001,0.0,9986.769922999996
2023-09-28,MSFT,Short Exit,313.640015,3.369995000000017,9990.139917999997
2023-11-02,MSFT,Long Entry,348.320007,0.0,9990.139917999997
2023-11-09,MSFT,Long Exit,360.690002,12.369995000000017,10002.509912999998
2024-01-11,MSFT,Long Entry,384.630005,0.0,10002.509912999998
2024-01-17,MSFT,Long Exit,389.470001,4.839996000000042,10007.349908999999
2024-03-21,MSFT,Long Entry,429.369995,0.0,10007.349908999999
2024-03-22,MSFT,Long Exit,428.73999,-0.6300050000000397,10006.719903999998
