Date,Symbol,TradeType,Price,Profit,Balance
2000-01-17,A,Short Entry,48.909157,0.0,10000.0
2000-01-21,A,Short Exit,49.177395,-0.26823799999999665,9999.731762
2000-01-22,MSFT,Short Entry,51.875,0.0,9999.731762
2000-02-02,MSFT,Short Exit,50.40625,1.46875,10001.200512
2000-02-03,A,Long Entry,55.615166,0.0,10001.200512
2000-03-28,A,Long Exit,85.211014,29.595848000000004,10030.79636
2000-03-29,MSFT,Long Entry,53.59375,0.0,10030.79636
2000-03-30,MSFT,Long Exit,51.6875,-1.90625,10028.89011
2000-03-31,A,Short Entry,74.391991,0.0,10028.89011
2000-04-06,A,Short Exit,75.1073,-0.7153089999999906,10028.174801000001
2000-04-07,MSFT,Short Entry,44.53125,0.0,10028.174801000001
2000-04-11,MSFT,Short Exit,41.9375,2.59375,10030.768551000001
2000-04-12,A,Short Entry,61.516453,0.0,10030.768551000001
2000-04-13,A,Short Exit,64.377686,-2.8612329999999986,10027.907318000001
2000-04-14,MSFT,Short Entry,37.0625,0.0,10027.907318000001
2000-04-17,MSFT,Short Exit,37.9375,-0.875,10027.032318000001
2000-04-18,A,Short Entry,62.231758,0.0,10027.032318000001
2000-04-26,A,Short Exit,65.718887,-3.487128999999996,10023.545189000002
2000-04-27,MSFT,Short Entry,34.90625,0.0,10023.545189000002
2000-04-28,MSFT,Short Exit,34.875,0.03125,10023.576439000002
2000-04-29,A,Long Entry,63.394135,0.0,10023.576439000002
2000-05-03,A,Long Exit,65.450645,2.056509999999996,10025.632949000003
2000-05-04,MSFT,Short Entry,35.21875,0.0,10025.632949000003
2000-05-08,MSFT,Short Exit,34.90625,0.3125,10025.945449000003
2000-05-09,A,Short Entry,57.358727,0.0,10025.945449000003
2000-06-08,A,Short Exit,49.445637,7.913090000000004,10033.858539000003
2000-06-09,A,Long Entry,50.697426,0.0,10033.858539000003
2000-06-12,A,Long Exit,47.2103,-3.4871260000000035,10030.371413000003
2000-06-13,A,Short Entry,49.400928,0.0,10030.371413000003
2000-06-20,A,Short Exit,52.66452,-3.2635920000000027,10027.107821000003
2000-06-21,A,Long Entry,56.151646,0.0,10027.107821000003
2000-06-22,A,Long Exit,54.184547,-1.9670989999999975,10025.140722000004
2000-06-23,MSFT,Long Entry,38.84375,0.0,10025.140722000004
2000-06-26,MSFT,Long Exit,39.75,0.90625,10026.046972000004
2000-06-27,MSFT,Long Entry,39.40625,0.0,10026.046972000004
2000-06-28,MSFT,Long Exit,39.46875,0.0625,10026.109472000004
2000-06-29,A,Long Entry,54.273964,0.0,10026.109472000004
2000-07-04,A,Long Exit,52.709229,-1.5647349999999989,10024.544737000004
2000-07-05,A,Short Entry,50.250359,0.0,10024.544737000004
2000-08-09,A,Short Exit,28.120529,22.129830000000002,10046.674567000004
2000-08-10,MSFT,Long Entry,36.3125,0.0,10046.674567000004
2000-08-14,MSFT,Long Exit,36.09375,-0.21875,10046.455817000004
2000-08-15,MSFT,Long Entry,35.8125,0.0,10046.455817000004
2000-08-16,MSFT,Long Exit,35.5,-0.3125,10046.143317000004
2000-08-17,A,Long Entry,33.261803,0.0,10046.143317000004
2000-09-06,A,Long Exit,42.918453,9.656649999999999,10055.799967000004
2000-09-07,A,Long Entry,44.259659,0.0,10055.799967000004
2000-09-08,A,Long Exit,42.381973,-1.877685999999997,10053.922281000005
2000-09-09,MSFT,Short Entry,34.65625,0.0,10053.922281000005
2000-09-11,MSFT,Short Exit,34.40625,0.25,10054.172281000005
2000-09-12,A,Short Entry,39.341915,0.0,10054.172281000005
2000-10-03,A,Short Exit,38.000713,1.3412020000000027,10055.513483000004
2000-10-04,MSFT,Short Entry,27.71875,0.0,10055.513483000004
2000-10-05,MSFT,Short Exit,27.6875,0.03125,10055.544733000004
2000-10-06,MSFT,Short Entry,27.78125,0.0,10055.544733000004
2000-10-17,MSFT,Short Exit,25.21875,2.5625,10058.107233000004
2000-10-18,A,Short Entry,29.238197,0.0,10058.107233000004
2000-10-20,A,Short Exit,33.306507,-4.068310000000004,10054.038923000004
2000-10-21,MSFT,Long Entry,32.59375,0.0,10054.038923000004
2000-11-10,MSFT,Long Exit,33.6875,1.09375,10055.132673000004
